"Neighborhood","Venue Category","Venue","id","location_address","location_crossStreet","Neighborhood_Latitude","Neighborhood_Longitude","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName"
"S D Road","School","Gitanjali Devashray","51e7edc1498e14e873dbca40","S D Road","null",17.43822,78.50106,"null",,,,"S D Road","School","Schools","School"
"Begumpet (Kundanbagh)","High School","Chinmaya School","4ff82883e4b0cdc6b8a0d415","Begumpet","Kundanbagh",17.43600938,78.45967822,"null",,,,"Begumpet (Kundanbagh)","High School","High Schools","High School"
"Saroornagar","School","vowels convent","4fe4b851e4b053d40ffc7c70","11/13/586","road no 15, alkapuri",17.36419864,78.55139805,500035,,,,"11/13/586 (road no 15, alkapuri)","School","Schools","School"
"kondapur main Rd, Kondapur","High School","Chirec Public School","4cf1053d1d18a143d05d50ec","kondapur main Rd, Kondapur","null",17.4607275,78.35332985,"null",,,,"kondapur main Rd, Kondapur","High School","High Schools","High School"
"Sainikpuri","High School","Bhavan's Vivekananda College","4c6a448b96f176b0b9b2b236","Sainikpuri","null",17.48753964,78.53486504,"null",,,,"Sainikpuri","High School","High Schools","High School"
"Bharani Layout","Caf�","The Culinary Lounge","5bf7fa8e0d2be7002ceb3986","Bharani Layout","null",17.416877,78.399747,500092,,,,"Bharani Layout","Caf�","Caf�s","Caf�"
"Chintalmate","Religious School","Kids Arabic School","58d3da2b6431e54ca3b0e04c","Chintalmate","null",17.348443,78.422994,"null",,,,"Chintalmate","Religious School","Religious Schools","Religious School"
"Ramanthapur","School","St Joseph's Public School","4df333f8d22d8c5470dcfcb6","null","Ramanthapur",17.40609788,78.54113249,"null",,,,"Ramanthapur","School","Schools","School"
"Jubillee Hills","School","Jubillee Hills Public School","4e0771bb315117c55a20bbbe","Jubillee Hills","null",17.41946308,78.40831876,"null",,,,"Jubillee Hills","School","Schools","School"
"Secunderabad","High School","Keyes High School","4eacc8a082315d0ca5591dec","null","null",17.43877202,78.50439719,"null",,,,"Secunderabad","High School","High Schools","High School"
"Amberpet","School","Hyderabad Public School","4e5a72b318a8c2047518f9c6","Hyderabad Public School","Ramanthapur",17.39912111,78.53644534,500013,,,,"Hyderabad Public School (Ramanthapur)","School","Schools","School"
"Hyderabad Jubilee","School","Purani Haveli","521d578311d28221fb263da1","null","null",17.36731884,78.48272831,500002,,,,"Hyderabad 500002","School","Schools","School"
"Cyberabad","Adult Education Center","Testing Masters","5aa4a8dd61e53b37ccc4a4ed","Siri sai orchid","2nd Floor",17.442016,78.384637,500081,,,,"Siri sai orchid (2nd Floor)","Adult Education Center","Adult Education Centers","Adult Education Center"
"Dargah Hussain Shahwali    ","School","Zilla Parishad High School","5de099e7e682a300086f9e72","Shaikpet","null",17.412015,78.392703,500008,,,,"Shaikpet","School","Schools","School"
"Chandanagar","School","Oi Play School","5df9a005bdacac0008c402e5","PJR Enclave Road","null",17.501598,78.334827,500050,,,,"PJR Enclave Road","School","Schools","School"
"Kukatpally","School","Irish Florets School","5a0fc5788a6f175e86563a33","null","null",17.492315,78.41236,500072,,,,"Hyderabad 500072","School","Schools","School"
"Dr.B R Ambedkar O.U","Nursery School","Future Kids School","5dbfa5fb377a38000822a6cf","null","null",17.428401,78.412056,500033,,,,"Hyderabad 500033","Nursery School","Nursery Schools","Nursery School"
"Aziznagar, Moinabad Mandal (RR District)","High School","Sreenidhi International School","4e2e86bb62e1fbac61019bce","Aziznagar, Moinabad Mandal","RR District",17.33929941,78.34167701,500075,,,,"Aziznagar, Moinabad Mandal (RR District)","High School","High Schools","High School"
"Banjara Hills","High School","Kangaroo Kids School","4cff25991ebe6dcb62e37f91","# 8-2-282/A, Road No. 3, Banjara Hills","Opp. Vishnu Residency",17.42206065,78.43595668,500034,,,,"# 8-2-282/A, Road No. 3, Banjara Hills (Opp. Vishnu Residency)","High School","High Schools","High School"
"Bharat Nagar","High School","Vivekananda Convent High School","5837b2b4fc73d41260970220","Bharat Nagar","null",17.463355,78.425735,"null",,,,"Bharat Nagar","High School","High Schools","High School"
"Manovikasnagar","School","Pallavi Model School","50fe82a6e4b0b3dbb43f4066","null","null",17.46816987,78.4879448,500009,,,,500009,"School","Schools","School"
"Administrative Buildings ","High School","Johnson Grammar School","4fd9bc8de4b0e967fd08fd60","Kakatiya Nagar","Habsiguda",17.41561427,78.5419253,500007,,,,"Kakatiya Nagar (Habsiguda)","High School","High Schools","High School"
"Falaknuma","School","Academic Heights Public School","58ea391514fb415f6aef44ea","18-04-1948","null",17.339642,78.47018,500053,,,,"18-04-1948","School","Schools","School"
"Kukatpally","Mall","The Forum Sujana Mall","541193bb498e516757fdf7fa","Plot No. S-16, Survey No. 1009, K P H B Phase 6, Kukatpally,","null",17.48402385,78.38951586,500072,,,,"Plot No. S-16, Survey No. 1009, K P H B Phase 6, Kukatpally,","Shopping Mall","Shopping Malls","Mall"
"Madhapur","Furniture / Home","IKEA Hyderabad","57ac118c38fa8f9b5d45395f","Madhapur","null",17.43893972,78.37582302,"null",,,,"Madhapur","Furniture / Home Store","Furniture / Home Stores","Furniture / Home"
"Banjara Hills","Mall","Inorbit Mall","4ba0debcf964a520768337e3","Near Durgam Cheruvu, Vittal Rao Nagar","Hitech City",17.43360979,78.38620663,500034,,,,"Near Durgam Cheruvu, Vittal Rao Nagar (Hitech City)","Shopping Mall","Shopping Malls","Mall"
"Kukatpally","Mall","Manjeera Trinity Mall","525800cc11d25864dcc09581","JNTU Road, KPHB Phase 3, Kukatpally","KPHB",17.4899796,78.39285228,500072,,,,"JNTU Road, KPHB Phase 3, Kukatpally (KPHB)","Shopping Mall","Shopping Malls","Mall"
"Saroornagar","Apparel","Zudio Collection","60128246bb19bc2efe46ee1e","KOTHAPET","null",17.36242,78.54428,500035,,,,"KOTHAPET","Clothing Store","Clothing Stores","Apparel"
"Masab Tank","Mall","Ashoka Metropolitan Mall","4c18a9ed2cddb713f031831e","Masab Tank","null",17.40819395,78.45109069,"null",,,,"Masab Tank","Shopping Mall","Shopping Malls","Mall"
"Malakpet","Department Store","D Mart","4fe1c402e4b074c0cc534794","Naga Anasuya Arcade","Malakpet",17.37114674,78.50504635,"null",,,,"Naga Anasuya Arcade (Malakpet)","Department Store","Department Stores","Department Store"
"Chandanagar","Mall","GSM Mall","5d21af2b7ad194002379de80","null","null",17.496692,78.335824,500050,,,,"Hyderabad 500050","Shopping Mall","Shopping Malls","Mall"
"Cyberabad","Mall","SLN Terminus","561a76e6498e5335924cdfbb","Kondapur","null",17.45262364,78.36335033,500081,,,,"Kondapur","Shopping Mall","Shopping Malls","Mall"
"Attapur","Mall","Spencers","50792dd6e4b0109f3532cf0e","Attapur","null",17.36960124,78.42914634,"null",,,,"Attapur","Shopping Mall","Shopping Malls","Mall"
"Ameerpet","Shop","Sri Lakshmi Traders","60117b94c86f210a20fb585f","Ameerpet","Balkampet Rd",17.440937,78.44802,500038,,,,"Ameerpet (Balkampet Rd)","Miscellaneous Shop","Miscellaneous Shops","Shop"
"Humayunnagar","Gas Station","Indian Oil Fuel Station","5de9e28129c2cd0007933612","null","null",17.395414,78.43083,500028,,,,"Hyderabad 500028","Gas Station","Gas Stations","Gas Station"
"Jubilee Hills","Electronics","Bajaj Electronics","50bdda43e4b0f84e56e72e7d","Opp Madhapur Police Station","Jubilee Hills",17.43850285,78.3978897,"null",,,,"Opp Madhapur Police Station (Jubilee Hills)","Electronics Store","Electronics Stores","Electronics"
"Dargah Hussain Shahwali    ","Spa","Meghavi Spa","5bd9c0ed237dee002cc7dfee","null","null",17.413404,78.367326,500008,,,,"Hyderabad 500008","Spa","Spas","Spa"
"Kondapur Village, Serilingampally","Tech Startup","Sutherland Healthcare Solutions","5230546f11d27ac31606daba","Survey No. 185 (P)","Kondapur Village, Serilingampally",17.41173237,78.37055387,"null",,,,"Survey No. 185 (P) (Kondapur Village, Serilingampally)","Tech Startup","Tech Startups","Tech Startup"
"Madhapur","Gas Station","Indian Oil","4fd8f76fe4b00800dce0b166","Madhapur","null",17.44119368,78.39145774,"null",,,,"Madhapur","Gas Station","Gas Stations","Gas Station"
"Indira Nagar, Gachibowli,","Department Store","Star Hypermarket","594e1d88a4b51b7d053a1922","19, Old Mumbai Hwy, Vinayak Nagar","Indira Nagar, Gachibowli,",17.44435131,78.35549028,500032,,,,"19, Old Mumbai Hwy, Vinayak Nagar (Indira Nagar, Gachibowli,)","Department Store","Department Stores","Department Store"
"Kamala Nagar, Vanasthalipuram.","Jewelry","SRI SAI SHAKTHI 91.6 KDM JEWELLERS","561f452d498e395660fe0047","H.No. 5-4-36/2, Lane Beside Sampoorna Theatre Booking Counter.","Kamala Nagar, Vanasthalipuram.",17.331407,78.57587,500070,,,,"H.No. 5-4-36/2, Lane Beside Sampoorna Theatre Booking Counter. (Kamala Nagar, Vanasthalipuram.)","Jewelry Store","Jewelry Stores","Jewelry"
"Dr.B R Ambedkar O.U","Apparel","H&M","5a48782b25ecca3a3498b76a","Hyderabad","null",17.4325,78.4071,500033,,,,"Hyderabad","Clothing Store","Clothing Stores","Apparel"
"Malakpet Colony","Auto Dealer","Lakshmi Hyundai Service","59182489588e361ab5a9dee9","null","null",17.378273,78.515525,500036,,,,"Hyderabad 500036","Auto Dealership","Auto Dealerships","Auto Dealer"
"Dr.B R Ambedkar O.U","Dry Cleaner","Sparkles","57adbc6538fa9e23f651edb2","null","Madhapur",17.441153,78.391112,500033,,,,"Madhapur","Dry Cleaner","Dry Cleaners","Dry Cleaner"
"Begum Bazaar","Shop","Begum Bazaar","4d7b1fcf79c4b1f718e5e2f2","Begum Bazaar","null",17.37552928,78.4732547,"null",,,,"Begum Bazaar","Miscellaneous Shop","Miscellaneous Shops","Shop"
"Humayunnagar","Dairy Store","Sahara Dairy Farm Mehdipatnam","594f037f59fe5c1c5ddf3f19","Mehdipatnam","Hills Colony",17.389313,78.442463,500028,,,,"Mehdipatnam (Hills Colony)","Dairy Store","Dairy Stores","Dairy Store"
"Kukatpally","Street Food Gathering","Vinayaka Bajji Center","5b8beac9f2554e002c7da89c","null","null",17.486958,78.39226,500072,,,,"Hyderabad 500072","Street Food Gathering","Street Food Gatherings","Street Food Gathering"
"kondapur","Department Store","Ratnadeep Supermarket","4ff2c165e4b021f31db37701","kondapur","null",17.45618726,78.36466454,"null",,,,"kondapur","Department Store","Department Stores","Department Store"
"kondapur","Grocery Store","Heritage Fresh Superstore","4dcf73b445ddbe15f8a39e59","Kondapur Main Rd, CMC Enclave, Kondapur","Camelot Layout",17.46365437,78.34713268,500032,,,,"Kondapur Main Rd, CMC Enclave, Kondapur (Camelot Layout)","Grocery Store","Grocery Stores","Grocery Store"
"Banjara Hills","Grocery Store","Ratnadeep Supermarket","4e4e851a18383eb2af1395b5","Road #12, Banjara Hills","null",17.40779255,78.44290944,"null",,,,"Road #12, Banjara Hills","Grocery Store","Grocery Stores","Grocery Store"
"Somajiguda","Grocery Store","Spencers","4ec8fc0493ad41338e9b55cf","Raj Bhavan Road","Somajiguda",17.426675,78.457516,"null",,,,"Raj Bhavan Road (Somajiguda)","Grocery Store","Grocery Stores","Grocery Store"
"Banjara Hills","Liquor Store","Liquor Bank","4f635739e4b0e30d1f8e7488","Banjara Hills","Rd No 12",17.40814152,78.44933646,"null",,,,"Banjara Hills (Rd No 12)","Liquor Store","Liquor Stores","Liquor Store"
"Erragadda","Wine Shop","Balaji Wines","5a6737a1bfc6d00e526e3a5f","null","null",17.468089,78.397873,500018,,,,"Rajendra Nagar 500018","Wine Shop","Wine Shops","Wine Shop"
"Kothapet","Farmer's Market","Kothapeta Rythu Bazar","4e59e0dfd164da2b2769836e","Kothapet","Main Road",17.36633406,78.54234606,"null",,,,"Kothapet (Main Road)","Farmers Market","Farmers Markets","Farmer's Market"
"Dr.B R Ambedkar O.U","Food Service","Kshatriya Foods","5d59027bddd0170008f63cad","null","null",17.439337,78.39777,500033,,,,"Hyderabad 500033","Food Service","Food Services","Food Service"
"Miyapur","Wine Shop","Q","600d72c43e236a091c1b3348","null","null",17.496724,78.365729,500049,,,,"Hyderabad 500049","Wine Shop","Wine Shops","Wine Shop"
"Gandhi Bhawan","Farmer's Market","Fresh","5b9e798082a750002c0e9271","null","null",17.486795,78.39262,500001,,,,"Hyderabad 500001","Farmers Market","Farmers Markets","Farmer's Market"
"Gachibowli","Wine Shop","Hub Of Beverages (Q by Tonique)","5e0af1b8ca26750008afd07d","raidurgam","null",17.418962,78.375305,500030,,,,"raidurgam","Wine Shop","Wine Shops","Wine Shop"
"Karkhana","Grocery Store","Ghansham Supermarket","4cb18e25cbab236a05dba973","Karkhana","Picket",17.45524156,78.50402835,"null",,,,"Karkhana (Picket)","Grocery Store","Grocery Stores","Grocery Store"
"L B Nagar","Food & Drink","Sri Balaji Cool Drinks And Goli Soda","5d6563018cd8ae0007e237df","Siri Road","L B Nagar",17.352747,78.55378,500074,,,,"Siri Road (L B Nagar)","Food & Drink Shop","Food & Drink Shops","Food & Drink"
"Botanical gardens road","Supermarket","Polimerras, Botanical Garden Road","5e2ed89c69074d0008effd21","opposite to aparna Hights","Botanical gardens road",17.46242,78.34924,500084,,,,"opposite to aparna Hights (Botanical gardens road)","Supermarket","Supermarkets","Supermarket"
"Kukatpally","Butcher","MRCB Chicken","505556c5e4b04ed4f117b5e6","JNTU road","Kukatpally",17.49533267,78.39489698,"null",,,,"JNTU road (Kukatpally)","Butcher","Butchers","Butcher"
"Gandhinagar","Grocery Store","Reliance Fresh","4d033c8d2f96f04d94b91654","Indra Nagar","Gachibowli",17.44175865,78.35959825,500080,,,,"Indra Nagar (Gachibowli)","Grocery Store","Grocery Stores","Grocery Store"
"Lingampally","Farmer's Market","Raitu Bazaar","5145cec3e4b01c663f1ce486","null","Lingampally",17.49031544,78.3150545,"null",,,,"Lingampally","Farmers Market","Farmers Markets","Farmer's Market"
"Attapur","Supermarket","Ghanshyam Super Market","5c36cfa81ffed7002c41d8dd","Opp Janapriya Utopia","Attapur",17.365341,78.421052,500048,,,,"Opp Janapriya Utopia (Attapur)","Supermarket","Supermarkets","Supermarket"
"Mehdipatnam","Farmer's Market","Rythu Bazar","4e0f14a218a8bf9784d34a18","Mehdipatnam Rd, Mehdipatnam","null",17.39534835,78.4413088,"null",,,,"Mehdipatnam Rd, Mehdipatnam","Farmers Market","Farmers Markets","Farmer's Market"
"Banjara Hills","Grocery Store","Star Market","5dbc1770cf8e7a00084098cc","Road No. 14","Banjara Hills",17.4223,78.429361,500034,,,,"Road No. 14 (Banjara Hills)","Grocery Store","Grocery Stores","Grocery Store"
"Gagan Mahal","Grocery Store","D Mart","5b44cd10471d6e002c6b2445","Hyderguda","null",17.399067,78.481841,500029,,,,"Hyderguda","Grocery Store","Grocery Stores","Grocery Store"
"Ankireddipalli","Food Service","Tap-Out Drive In","5a3d1ac858aa7f082f6e0c31","null","null",17.422787,78.64069,501301,,,,"Hyderabad 501301","Food Service","Food Services","Food Service"
"Kukatpally","Food & Drink","Ravi Cool Drinks","5a2ec0b767af3a063a98b198","null","null",17.487071,78.395591,500072,,,,"Rajendra Nagar 500072","Food & Drink Shop","Food & Drink Shops","Food & Drink"
"Secunderabad","Supermarket","Spar Supermarket","596b26517269fe1bb32f5995","null","null",17.42576,78.54983,500076,,,,"Secunderabad 500076","Supermarket","Supermarkets","Supermarket"
"Whitefields","Grocery Store","Heritage Fresh","4cfcef6c7945224badc78de7","Gachibowli Miyapur Rd, Whitefields","null",17.45414129,78.3640904,500084,,,,"Gachibowli Miyapur Rd, Whitefields","Grocery Store","Grocery Stores","Grocery Store"
"Gachibowli Rd","Grocery Store","Ratnadeep Super Market","59a2a27446e1b6498887129c","Srinivana Nilayam","Gachibowli Rd",17.442863,78.35508,500032,,,,"Srinivana Nilayam (Gachibowli Rd)","Grocery Store","Grocery Stores","Grocery Store"
"Attapur","Grocery Store","Grocery N More","5c7a9a7cbcbf7a002c8fbf4f","Grocery N More, Street No. 1, CBIT Colony, Pillar No. 126, Attapur","Lane beside ICICI Bank",17.369007,78.43012,500048,,,,"Grocery N More, Street No. 1, CBIT Colony, Pillar No. 126, Attapur (Lane beside ICICI Bank)","Grocery Store","Grocery Stores","Grocery Store"
"Manovikasnagar","Food & Drink","Kwality Super Market","50a8703ce4b0268f9c525122","Bowenpally","null",17.47072463,78.48361552,500009,,,,"Bowenpally","Food & Drink Shop","Food & Drink Shops","Food & Drink"
"Banjara hills","Market","Greenz Store","51fa6483498e583c47a9d73c","Banjara hills","adjacent lane of Care Hospital",17.41335993,78.45387742,"null",,,,"Banjara hills (adjacent lane of Care Hospital)","Market","Markets","Market"
"Nizampet road","Market","VIJETHA","523713ce498e2b20b057aa6a","Nizampet road","null",17.5152,78.3831,"null",,,,"Nizampet road","Market","Markets","Market"
"Attapur","Market","LP stores","529a218e498e6bae5aeed577","Attapur","null",17.36307526,78.42221832,"null",,,,"Attapur","Market","Markets","Market"
"Near Narthaki Theater (Lothkunta)","Market","Lothkunta Friday Market","50cb2506e4b0373cb5f59a1e","Near Narthaki Theater","Lothkunta",17.49158172,78.50923529,"null",,,,"Near Narthaki Theater (Lothkunta)","Market","Markets","Market"
"Madhapur","Farmer's Market","Kisan Bazar","5172578ae4b01f6bffaa7aa3","Madhapur","null",17.44684474,78.39384151,"null",,,,"Madhapur","Farmers Market","Farmers Markets","Farmer's Market"
"I.M.Colony","Market","Mobile Rythu Bazar","52d23b10498e37c03e1286c7","Near entrance Of Punjagutta Officers' Colony","null",17.430026,78.454089,500082,,,,"Near entrance Of Punjagutta Officers' Colony","Market","Markets","Market"
"Humayunnagar","Market","Shiv SuperMarket","5197410c498e6cc06de48f8b","null","Mehdipatnam",17.39263859,78.44301876,500028,,,,"Mehdipatnam","Market","Markets","Market"
"LB Nagar","Market","Reliance Market","536dcb7b11d201131afe11b3","LB Nagar","null",17.34136963,78.55117798,"null",,,,"LB Nagar","Market","Markets","Market"
"Peerzadiguda","Market","Bigbazar","5d7cfbd8abe41600072d847c","null","null",17.402531,78.583769,500039,,,,"Hyderabad 500039","Market","Markets","Market"
"Malkajgiri (Plot No 1,Vishnupuri)","Market","Spencer's Hyper Market","55768613498e5d3066639025","Malkajgiri","Plot No 1,Vishnupuri",17.45420787,78.5368447,"null",,,,"Malkajgiri (Plot No 1,Vishnupuri)","Market","Markets","Market"
"shilpa park (kondapur)","Department Store","More super market","4e8c7c63823129f4e0edcd46","shilpa park","kondapur",17.46902005,78.36738953,"null",,,,"shilpa park (kondapur)","Department Store","Department Stores","Department Store"
"Hyderguda","Market","Hyderguda Market","5d7e5834290f5e000728c73f","null","Hyderguda",17.364311,78.426531,500048,,,,"Hyderguda","Market","Markets","Market"
"Kukatpally","Market","Royal Mutton & Chicken Bazar","5af79f05b1538e002c04c18d","null","null",17.492552,78.393639,500072,,,,"Rajendra Nagar 500072","Market","Markets","Market"
"Jntu Kukat Pally","Market","Raithubazar","5b910f7400b068002d3da8b5","null","null",17.47088,78.38672,500085,,,,"Hyderabad 500085","Market","Markets","Market"
"Jntu Kukat Pally","Butcher","Nainies Pork Shop","5662d07b498e6e578268ea14","Shop No 2, Dharma Reddy Colony, 3rd Phase","null",17.493021,78.394813,500085,,,,"Shop No 2, Dharma Reddy Colony, 3rd Phase","Butcher","Butchers","Butcher"
"Camelot Layout","Market","Monday Market","53833c92498ef71aaaf0d40f","Camelot Layout","null",17.46458791,78.34805651,"null",,,,"Camelot Layout","Market","Markets","Market"
"Humayunnagar","Market","Guddimalkapur Vegetable Market","5987b9ace1f0aa182caa2866","Guddimalkapur","null",17.383686,78.435344,500028,,,,"Guddimalkapur","Market","Markets","Market"
"Banjara Hills","Hotel","Radisson Blu Plaza Banjara Hills","54a36653498e425f3b1ae183","8-2-409 Rd No 6 Banjara Hills","Banjara Hills",17.42229619,78.44146833,500034,,,,"8-2-409 Rd No 6 Banjara Hills (Banjara Hills)","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","ITC Kohenur","5b1aacd378782c002c33018e","Plot No.5, Survey No. 83/1, Survey No.83/1, Hyderabad Knowledge City, Madhapur","null",17.4319651,78.3849993,500081,,,,"Plot No.5, Survey No. 83/1, Survey No.83/1, Hyderabad Knowledge City, Madhapur","Hotel","Hotels","Hotel"
"Begumpet","Hotel","ITC Kakatiya","4e1b27cbd22ddd4af9ea6366","6 -3 -1187, Begumpet","Begumpet",17.43251403,78.45735256,500016,,,,"6 -3 -1187, Begumpet (Begumpet)","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","The Westin Hyderabad Mindspace","4cbc55b27a5d9eb0a05c31e9","Raheja It Park, Hitec City, Madhapur","null",17.44235387,78.38179036,500081,,,,"Raheja It Park, Hitec City, Madhapur","Hotel","Hotels","Hotel"
"Gachibowli","Hotel","Sheraton Hyderabad Hotel","555f3cee498e02e9bea38862","115/1 Nanakramguda, Financial District, Gachibowli","null",17.4221861,78.3365299,500032,,,,"115/1 Nanakramguda, Financial District, Gachibowli","Hotel","Hotels","Hotel"
"Banjara Hills","Hotel","Park Hyatt Hyderabad","4f93cb30e4b03828fe09326a","Road No. 2 Banjara Hills","null",17.42476445,78.42960024,500034,,,,"Road No. 2 Banjara Hills","Hotel","Hotels","Hotel"
"Gachibowli","Hotel","Hotel Radisson, Gachibowli","534cb058498e1e9b5658a6b3","Gachibowli, Miyapur Road","null",17.4472705,78.36280435,500032,,,,"Gachibowli, Miyapur Road","Hotel","Hotels","Hotel"
"Gandhinagar","Resort","Hyderabad Marriott Hotel & Convention Centre","591ee0d2cab41034b4224a50","Tank Bund Road, Opposite Hussain Sagar Lake","null",17.4242098,78.4874569,500080,,,,"Tank Bund Road, Opposite Hussain Sagar Lake","Resort","Resorts","Resort"
"Gachibowli","Hotel","Le Meridien Hyderabad","5d0db9ae94dd8b00239ab963","Plot No 132 Miyapur Road, Gachibowli","null",17.44308,78.36241,500032,,,,"Plot No 132 Miyapur Road, Gachibowli","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","Taza Kitchen","5d20d824442332002fe00f2d","null","null",17.451784,78.391686,500081,,,,"Hyderabad 500081","Hotel","Hotels","Hotel"
"Gachibowli","Hotel","Mercure Hyderabad KCP","5726bb9a498e3be9cc1b1816","6 3 551 Erramanjil","Somajiguda",17.41774414,78.45690831,"null",,,,"6 3 551 Erramanjil (Somajiguda)","Hotel","Hotels","Hotel"
"Erramanjil (Somajiguda)","Resort","Taj Falaknuma Palace","4d0103874f56b60cf6f6a437","Engine Bowli, Falaknuma","null",17.33011796,78.46745955,"null",,,,"Engine Bowli, Falaknuma","Resort","Resorts","Resort"
"Cyberabad","Hotel","Trident","515e95b2e4b09c02ea4522b7","Hitech City Main Road","Next To Shilparamam",17.44941554,78.37874222,500081,,,,"Hitech City Main Road (Next To Shilparamam)","Hotel","Hotels","Hotel"
"Chirag Ali Road","Hotel","Taj Mahal Hotel","4be06fbf4c55b651426feab7","4-1-999, Abidi Road Chirag Ali Road","null",17.3919419,78.47691532,"null",,,,"4-1-999, Abidi Road Chirag Ali Road","Hotel","Hotels","Hotel"
"Banjara Hills","Hotel","Taj Banjara","4bc7868d93bdeee1607b37ae","Rd #1 Banjara Hills","null",17.41014821,78.4492865,"null",,,,"Rd #1 Banjara Hills","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","Avasa Hotel","4f6965fce4b0cb407476eaa1","Plot no. 15, 24-26, Survey No. 64 Sector-I, Huda Techno Enclave","Hitec City",17.4471442,78.3839755,500081,,,,"Plot no. 15, 24-26, Survey No. 64 Sector-I, Huda Techno Enclave (Hitec City)","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","Novotel Hyderabad Airport","4d91c4299d0f721e410d1d73","Near Hitech City","null",17.24232477,78.45446841,500081,,,,"Near Hitech City","Hotel","Hotels","Hotel"
"Gandipet (Gandipet)","Resort","Golkonda Resort and Spa","4c789fc097028cfa21a9d8fe","Gandipet","Gandipet",17.38961436,78.31632186,500075,,,,"Gandipet (Gandipet)","Resort","Resorts","Resort"
"Gachibowli","Hotel","Marriott Executive Apartments Hyderabad","5a8dac038c812a57c0a715ca","Level 10, SLN Terminus, Survey No 133, Beside Botanical Gardens, Gachibowli","null",17.4523783,78.3631423,500032,,,,"Level 10, SLN Terminus, Survey No 133, Beside Botanical Gardens, Gachibowli","Hotel","Hotels","Hotel"
"I.M.Colony","Hotel","The Park Hotel","4be1701a8dd062b583483e3c","22 Raj Bhavan Rd","Somajiguda",17.423605,78.46240113,500082,,,,"22 Raj Bhavan Rd (Somajiguda)","Hotel","Hotels","Hotel"
"Madhapur","Hotel","Lemon Tree Hotel","4d6dcd43619a236ad8606a8f","Madhapur","null",17.44327531,78.37689825,"null",,,,"Madhapur","Hotel","Hotels","Hotel"
"Begumpet","Hotel","Vivanta by Taj","4e5b27778877c8a76dfc0f0c","Vivanta By Taj - Begumpet, Hyderabad","1-10-147 & 148, Mayuri Marg",17.44349841,78.46055605,500016,,,,"Vivanta By Taj - Begumpet, Hyderabad (1-10-147 & 148, Mayuri Marg)","Hotel","Hotels","Hotel"
"Siddiamber Bazaar","Hotel","Hotel Rajdhani","4bdedb37fe0e62b57d000606","Siddiamber Bazaar","null",17.37829541,78.47498632,"null",,,,"Siddiamber Bazaar","Hotel","Hotels","Hotel"
"Near Kachiguda Railway Station","Motel","Hotel Tourist Plaza","4cfe465fd8468cfa8f09056c","Near Kachiguda Railway Station","null",17.38968758,78.49624624,"null",,,,"Near Kachiguda Railway Station","Motel","Motels","Motel"
"vanasthalipuram","Hotel","Hotel swagath grand","4e9a87d89adf277db7b987bc","Next to vishnu theatre, vanasthalipuram","null",17.33880431,78.56676093,"null",,,,"Next to vishnu theatre, vanasthalipuram","Hotel","Hotels","Hotel"
"Cyberabad","Hotel","ibis Hotel","583418f57ff1e4714109a222","null","null",17.44771,78.37902,500081,,,,"???? 500081","Hotel","Hotels","Hotel"
"Neredmet","Hotel","Suka Sagar Tiffins","5c131945bb8d36002ccc3de5","malkajgiri","null",17.458633,78.53727,500056,,,,"malkajgiri","Hotel","Hotels","Hotel"
"Banjara Hills","Hotel","The Down Town Hotel","5d28d222e97aae002df35fef","8-2-703/4, B/1A, Rd Number 12, Sai Enclave, Bhola Nagar, Banjara Hills","null",17.406925,78.44809,500034,,,,"8-2-703/4, B/1A, Rd Number 12, Sai Enclave, Bhola Nagar, Banjara Hills","Hotel","Hotels","Hotel"
"Gachibowli","Hotel","The Lime Boutique Suites","551e0b44498eb7e9650a3906","Jayabheri Enclave","Gachibowli",17.45053098,78.36254569,500032,,,,"Jayabheri Enclave (Gachibowli)","Hotel","Hotels","Hotel"
"Chandanagar","Hotel","Swagath Residency Hotel Hyderabad","4be06d724c55b651286eeab7","Chandanagar","null",17.4951175,78.32650508,"null",,,,"Chandanagar","Hotel","Hotels","Hotel"
"Whitefields, Hitech City","B & B","At Home - Apartment Hotel","4ca37f4ad5a2a14317f14990","Whitefields Rd, Whitefields, Hitech City","null",17.45458087,78.36948643,"null",,,,"Whitefields Rd, Whitefields, Hitech City","Bed & Breakfast","Bed & Breakfasts","B & B"
"Begumbazar","Hotel","Hotel Saptagiri","5844132b735a4d7fc8ca2ed1","Secunderabad","Clock Tower",17.438162,78.499687,500012,,,,"Secunderabad (Clock Tower)","Hotel","Hotels","Hotel"
"Abids","Hotel","Hotel Grand","4c34beaba0ced13ab0ae186e","Abids","null",17.38793342,78.47690106,"null",,,,"Abids","Hotel","Hotels","Hotel"
"Falaknuma","Pool","Falaknuma Palace Pool","59e6b56167af3a7212631f02","Falaknuma Palace","null",17.33059,78.467181,500053,,,,"Falaknuma Palace","Hotel Pool","Hotel Pools","Pool"
