Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_formattedAddress,location_crossStreet,location_neighborhood,id,location_postalCode,location_city,location_state,location_country,Venue_Category_Real,categories_name,categories_pluralName,cluster_label
Sector 12 Noida,Noida Sector 12,Apparel,Paytm Mall - India's Best Online Shopping Site,28.59181342,77.31968522,"F-44, Udhyog Marg, F Block","F-44, Udhyog Marg, F Block (Sector 6)",Sector 6,Sector 6,5a0e8b2f6bd36b53af98bf43,201301,New Delhi,Delhi,India,Apparel,Clothing Store,Clothing Stores,22
Chakkarpur ,Chakkarpur ,Market,Kala Niketan,28.478704,77.08061,,Gurugram 122002,,Gurugram 122002,5e26ebcdd7da760008dbdfc7,122002,New Delhi,Delhi,India,Shoes,Shoe Store,Shoe Stores,7
Chakkarpur ,Chakkarpur ,Apparel,H&M,28.50501376,77.0968016,"National Highway - 8, Ambience Island","National Highway - 8, Ambience Island",,"National Highway - 8, Ambience Island",56ffb554498e07eb8951265b,122002,New Delhi,Delhi,India,Apparel,Clothing Store,Clothing Stores,19
Sector 12 Noida,Noida Sector 12,Apparel,Lifestyle,28.56772085,77.32194553,A201 First Floor,A201 First Floor (Sector 18),Sector 18,Sector 18,570a56dfcd1024004b3ee187,201301,New Delhi,Delhi,India,Apparel,Clothing Store,Clothing Stores,22
Lajpat Nagar,Amar Colony ,Apparel,Narang Sons,28.569427,77.241112,,New Delhi 110024,,Amar Colony,5aa51ead86bc4932c5e278b4,110024,New Delhi,Delhi,India,Women's Store,Women's Store,Women's Stores,33
Masood Pur ,Masood Pur ,Market,Salvatore Ferragamo,28.5412638,77.15510836,"Nelson Mandela Marg Road, Shop No. 121","Nelson Mandela Marg Road, Shop No. 121",,Masood Pur,4e2c22d2fa76bbf847e03265,110070,New Delhi,Delhi,India,Shoes,Shoe Store,Shoe Stores,25
Sarojini Nagar,Kidwai Nagar East ,Apparel,Khushi Sarees,28.57742734,77.19562676,#39,#39 (Sarojni Nagar Market),Sarojni Nagar Market,Kidwai Nagar East,4efaf42261af454601660614,110023,New Delhi,Delhi,India,Women's Store,Women's Store,Women's Stores,38
Shahdara,Babarpur ,Apparel,V-Mart,28.6893903,77.28765773,"C 7, Jyoti Nagar West, North Chajjupur, Block A","C 7, Jyoti Nagar West, North Chajjupur, Block A (Shahdara)",Shahdara,Balbir Nagar,4e539ac41838136747302b7b,110032,New Delhi,Delhi,India,Apparel,Clothing Store,Clothing Stores,36
Ghaziabad,"Nehru Nagar, Ghaziabad",Child Care,EasyDay - MF OPULENT MALL,28.65171052,77.44058847,"EASYDAY MARKET, OPULENT MALL, PLOT NO.130, GT ROAD, NEAR CHOUDHARY MOR","EASYDAY MARKET, OPULENT MALL, PLOT NO.130, GT ROAD, NEAR CHOUDHARY MOR",,"EASYDAY MARKET, OPULENT MALL, PLOT NO.130, GT ROAD, NEAR CHOUDHARY MOR",525f087611d2147d760ead65,210009,New Delhi,Delhi,India,Daycare,Daycare,Daycares,17
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Child Care,Intellitots Day Care and Activity Center,28.45758804,77.07315559,,India,,New Delhi,51ee2e08498e66ca85d4794c,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,34
Dwarka,,Child Care,Divinity International,28.556305,77.057212,,India,,New Delhi,4fb4ed11e4b0d1f93826c915,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,12
Greater Kailash,Kalkaji,Child Care,Budding Box,28.533923,77.253334,,India,,New Delhi,56becbfccd10a98e0f4aae7e,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,15
Rajouri Garden,Rajouri Garden,Child Care,Tumble house,28.645953,77.126677,,India,,New Delhi,58b12634ef787f7d505e54c9,,New Delhi,Delhi,India,Child Care,Child Care Service,Child Care Services,27
Arjun Nagar ,Arjun Nagar ,Child Care,Dr. Dixit's Child Clinic And Ultrasound,28.452222,77.050485,Sec 31 Gurgaon,Sec 31 Gurgaon,,Sec 31 Gurgaon,5965b373531593755b691131,122001,New Delhi,Delhi,India,Child Care,Child Care Service,Child Care Services,0
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Child Care,Medhaam,28.46267557,77.0645722,,Gurgaon,,Gurgaon,50166b5de4b0d8233f5262f4,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,0
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Child Care,Crystal Child Care,28.48247544,77.08241844,,Gurgaon,,Gurgaon,51441158e4b0fd5cb226c8df,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,7
Aliganj ,,Child Care,Young Chefs Academy,28.56880113,77.23594903,,India,,New Delhi,51972004498e6cc06cdd84bf,,New Delhi,Delhi,India,Daycare,Daycare,Daycares,33
Sector 12 Noida,Noida Sector 12,Child Care,Noida Creche,28.59979576,77.3386482,b4 paryatan Vihar,b4 paryatan Vihar (Sector 7 noida),Sector 7 noida,Sector 7 noida,527220fe11d2286b3402eefb,201301,New Delhi,Delhi,India,Daycare,Daycare,Daycares,16
Baroda House / paharganj,,Bank,sberbank,28.63081741,77.22319031,Bharakhabha Road,Bharakhabha Road,,Bharakhabha Road,52fe0e1b498ea654e1c85362,,New Delhi,Delhi,India,Bank,Bank,Banks,13
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",Gurgaon Sector 45 ,Bank,HDFC Bank ATM,28.42938,77.091461,"HDFC Bank ATM, Wazirabad","HDFC Bank ATM, Wazirabad (Sector 56)",Sector 56,Sector 56,5eafb68e2c1262000776f5dd,122003,New Delhi,Delhi,India,Bank,Bank,Banks,24
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Bank,HDFC Bank ATM,28.557723,77.331767,"A - 15 / 15, Sector - 44, Gautam Budh Nagar Noida","A - 15 / 15, Sector - 44, Gautam Budh Nagar Noida",,"A - 15 / 15, Sector - 44, Gautam Budh Nagar Noida",5303a0e811d2eac30b656b6e,,New Delhi,Delhi,India,Bank,Bank,Banks,22
